File Name,Cores Number,Sparse Matrix,Dense Vector,Serial Algo Execution time,Row-wise Average Communication Time,Row-wise Average Computation Time,Row-wise Execution time,Row-wise Result,Column-wise Average Communication Time,Column-wise Average Computation Time,Column-wise Execution time,Column-wise Result,Non-zero elements Average Communication Time,Non-zero elements Average Computation Time,Non-zero Elements Execution time,Non-zero Elements Result,PETSc Execution time,PETSc Result
adder_dcop_32_mtx_k3_cores10_chunks1_cpus10,10,1813x1813,1813x3,0.00113044,0.000696979,8.26903e-05,0.0026002,same,0.000111187,7.20151e-05,0.00187058,same,0.00061446,0.000247633,0.00207159,same,0.00529406,same
adder_dcop_32_mtx_k3_cores10_chunks2_cpus5,10,1813x1813,1813x3,0.00107441,0.000995892,8.03351e-05,0.00311888,same,0.000117777,7.49722e-05,0.00180901,same,0.000860296,0.000261433,0.00242161,same,0.00699284,same
adder_dcop_32_mtx_k3_cores10_chunks5_cpus2,10,1813x1813,1813x3,0.00117624,0.000739928,8.40351e-05,0.00255436,same,0.000106981,7.80649e-05,0.00198826,same,0.000537575,0.000260093,0.0019872,same,0.00470376,same
adder_dcop_32_mtx_k3_cores11_chunks1_cpus11,11,1813x1813,1813x3,0.00116865,0.000695427,7.8206e-05,0.00248548,same,9.28092e-05,6.3374e-05,0.00182141,same,0.00126609,0.000253373,0.00254773,same,0.0044686,same
adder_dcop_32_mtx_k3_cores12_chunks1_cpus12,12,1813x1813,1813x3,0.00111986,0.000695768,7.28418e-05,0.00254579,same,9.51315e-05,6.45723e-05,0.00195495,same,0.00104897,0.000265256,0.00224879,same,0.00458871,same
adder_dcop_32_mtx_k3_cores12_chunks2_cpus6,12,1813x1813,1813x3,0.00115559,0.000720161,7.22446e-05,0.00251151,same,8.98981e-05,6.11618e-05,0.00187325,same,0.00102882,0.000247529,0.00221331,same,0.00531722,same
adder_dcop_32_mtx_k3_cores12_chunks3_cpus4,12,1813x1813,1813x3,0.00120665,0.000874683,7.17988e-05,0.00293679,same,9.13205e-05,5.97021e-05,0.00197575,same,0.00124666,0.000246697,0.0026341,same,0.0048087,same
adder_dcop_32_mtx_k3_cores12_chunks4_cpus3,12,1813x1813,1813x3,0.00117995,0.000739483,7.47958e-05,0.00263198,same,9.52519e-05,6.43215e-05,0.00203067,same,0.000994059,0.000253161,0.0022213,same,0.00460202,same
adder_dcop_32_mtx_k3_cores12_chunks6_cpus2,12,1813x1813,1813x3,0.00110982,0.000745393,7.23209e-05,0.00254659,same,9.41952e-05,6.35789e-05,0.00193088,same,0.00107305,0.000242578,0.00233214,same,0.00514995,same
adder_dcop_32_mtx_k3_cores13_chunks1_cpus13,13,1813x1813,1813x3,0.00121358,0.00101491,7.11135e-05,0.00293808,same,8.59654e-05,5.833e-05,0.00193212,same,0.00107339,0.000255291,0.00235745,same,0.00599536,same
adder_dcop_32_mtx_k3_cores14_chunks1_cpus14,14,1813x1813,1813x3,0.00115655,0.000774973,6.7837e-05,0.00261315,same,8.32358e-05,5.49592e-05,0.00199635,same,0.000996146,0.000246922,0.00227965,same,0.00483922,same
adder_dcop_32_mtx_k3_cores14_chunks2_cpus7,14,1813x1813,1813x3,0.0012132,0.000752404,6.96342e-05,0.00278803,same,9.8486e-05,5.7535e-05,0.00201971,same,0.00133122,0.000248704,0.00283128,same,0.0048757,same
adder_dcop_32_mtx_k3_cores15_chunks1_cpus15,15,1813x1813,1813x3,0.00125574,0.000719067,6.77129e-05,0.00272027,same,9.71893e-05,5.06257e-05,0.00228408,same,0.00076837,0.000245901,0.00258435,same,0.00512138,same
adder_dcop_32_mtx_k3_cores15_chunks3_cpus5,15,1813x1813,1813x3,0.00120569,0.000753568,6.77228e-05,0.00267437,same,9.77288e-05,5.07489e-05,0.00203341,same,0.000706419,0.000246962,0.00228859,same,0.00500936,same
adder_dcop_32_mtx_k3_cores15_chunks5_cpus3,15,1813x1813,1813x3,0.00119521,0.000928168,6.58015e-05,0.00311299,same,0.000100869,5.30362e-05,0.00205006,same,0.000681672,0.000258862,0.00242605,same,0.00539456,same
adder_dcop_32_mtx_k3_cores16_chunks1_cpus16,16,1813x1813,1813x3,0.00120072,0.000727012,6.47507e-05,0.00270656,same,9.30456e-05,5.0297e-05,0.0020652,same,0.00164085,0.000248295,0.00289019,same,0.00491182,same
adder_dcop_32_mtx_k3_cores16_chunks2_cpus8,16,1813x1813,1813x3,0.00119718,0.000711288,6.4766e-05,0.00267536,same,9.34736e-05,4.9042e-05,0.00203225,same,0.00109561,0.000249996,0.00232485,same,0.00496187,same
adder_dcop_32_mtx_k3_cores16_chunks4_cpus4,16,1813x1813,1813x3,0.00120128,0.000672344,6.43758e-05,0.0026098,same,9.74261e-05,5.0399e-05,0.00207269,same,0.0016234,0.000248177,0.00287776,same,0.00499944,same
adder_dcop_32_mtx_k3_cores18_chunks2_cpus9,18,1813x1813,1813x3,0.00107276,0.00109376,5.37725e-05,0.00292481,same,7.01534e-05,3.99513e-05,0.00206967,same,0.000639395,0.000218653,0.00195486,same,0.00503877,same
adder_dcop_32_mtx_k3_cores18_chunks3_cpus6,18,1813x1813,1813x3,0.00106652,0.0010138,5.42576e-05,0.0031217,same,6.9105e-05,4.10684e-05,0.00205904,same,0.000773602,0.000224733,0.0021585,same,0.00490391,same
adder_dcop_32_mtx_k3_cores18_chunks6_cpus3,18,1813x1813,1813x3,0.00110647,0.00106343,5.58963e-05,0.00305869,same,7.26084e-05,4.01739e-05,0.00214713,same,0.000892154,0.000228345,0.00238512,same,0.00588682,same
adder_dcop_32_mtx_k3_cores20_chunks2_cpus10,20,1813x1813,1813x3,0.0010633,0.00073825,5.30444e-05,0.00267106,same,7.56025e-05,3.95082e-05,0.00200027,same,0.00071513,0.000232099,0.00207627,same,0.00478722,same
adder_dcop_32_mtx_k3_cores20_chunks4_cpus5,20,1813x1813,1813x3,0.00109661,0.000832281,6.1645e-05,0.00268858,same,6.83863e-05,3.83835e-05,0.00188992,same,0.000741013,0.000242116,0.0021553,same,0.00493539,same
adder_dcop_32_mtx_k3_cores20_chunks5_cpus4,20,1813x1813,1813x3,0.00111716,0.000837493,5.24107e-05,0.0028927,same,5.61006e-05,3.71542e-05,0.00199121,same,0.000718332,0.000222146,0.00207257,same,0.00657056,same
adder_dcop_32_mtx_k3_cores21_chunks3_cpus7,21,1813x1813,1813x3,0.00114562,0.000691086,5.05713e-05,0.002503,same,6.08351e-05,3.70056e-05,0.00193083,same,0.000921222,0.00022799,0.00232099,same,0.00483871,same
adder_dcop_32_mtx_k3_cores22_chunks2_cpus11,22,1813x1813,1813x3,0.00114501,0.000737337,5.08265e-05,0.00259876,same,6.30031e-05,3.70314e-05,0.00200292,same,0.000920011,0.000224687,0.00375124,same,0.00507524,same
adder_dcop_32_mtx_k3_cores24_chunks2_cpus12,24,1813x1813,1813x3,0.00110501,0.000916604,5.45771e-05,0.00306118,same,6.55809e-05,3.25811e-05,0.00211474,same,0.00108431,0.000224386,0.00248908,same,0.00685119,same
adder_dcop_32_mtx_k3_cores24_chunks3_cpus8,24,1813x1813,1813x3,0.00118173,0.000763279,4.81295e-05,0.0028742,same,5.81887e-05,3.29952e-05,0.00209776,same,0.000834559,0.000234871,0.00210392,same,0.00523,same
adder_dcop_32_mtx_k3_cores24_chunks4_cpus6,24,1813x1813,1813x3,0.00110281,0.000830744,4.83037e-05,0.00275655,same,5.75945e-05,3.27e-05,0.00207425,same,0.000868092,0.000223787,0.00368612,same,0.00513516,same
adder_dcop_32_mtx_k3_cores24_chunks6_cpus4,24,1813x1813,1813x3,0.00110336,0.00134625,4.8552e-05,0.00338804,same,5.72012e-05,3.23442e-05,0.00207423,same,0.000864633,0.000227919,0.00372571,same,0.00594467,same
adder_dcop_32_mtx_k3_cores25_chunks5_cpus5,25,1813x1813,1813x3,0.0011842,0.0010604,4.77093e-05,0.00463883,same,5.51847e-05,3.00831e-05,0.00196814,same,0.00165288,0.000225115,0.00296346,same,0.00537813,same
adder_dcop_32_mtx_k3_cores26_chunks2_cpus13,26,1813x1813,1813x3,0.0011636,0.00112011,4.60876e-05,0.00320528,same,5.28306e-05,2.78986e-05,0.00199825,same,0.000875618,0.000222328,0.00214063,same,0.00529706,same
adder_dcop_32_mtx_k3_cores27_chunks3_cpus9,27,1813x1813,1813x3,0.00106398,0.000923554,4.30674e-05,0.00452254,same,8.40196e-05,2.71163e-05,0.00213021,same,0.000798005,0.000222928,0.00252577,same,0.00532071,same
adder_dcop_32_mtx_k3_cores28_chunks2_cpus14,28,1813x1813,1813x3,0.00119593,0.000795382,4.48208e-05,0.00268283,same,5.28794e-05,2.713e-05,0.00202721,same,0.00084979,0.000228208,0.00204799,same,0.00511341,same
adder_dcop_32_mtx_k3_cores28_chunks4_cpus7,28,1813x1813,1813x3,0.0010666,0.00105234,4.47916e-05,0.0051463,same,6.77984e-05,2.61683e-05,0.00194538,same,0.000935519,0.000218402,0.00243226,same,0.00652183,same
adder_dcop_32_mtx_k3_cores2_chunks1_cpus2,2,1813x1813,1813x3,0.000931293,0.000767156,0.000276443,0.00305507,same,0.000109877,0.000327669,0.00132068,same,0.000423256,0.000407241,0.00161833,same,0.00451196,same
adder_dcop_32_mtx_k3_cores30_chunks2_cpus15,30,1813x1813,1813x3,0.00119793,0.00133765,4.89006e-05,0.0034087,same,4.72297e-05,2.75562e-05,0.00208037,same,0.000794767,0.000237675,0.00239843,same,0.00551338,same
adder_dcop_32_mtx_k3_cores30_chunks3_cpus10,30,1813x1813,1813x3,0.00106176,0.000936466,4.05078e-05,0.00451126,same,7.8094e-05,2.33516e-05,0.00185613,same,0.000455856,0.000212933,0.00164543,same,0.00516998,same
adder_dcop_32_mtx_k3_cores30_chunks5_cpus6,30,1813x1813,1813x3,0.00108082,0.00109056,4.23868e-05,0.00335854,same,6.42026e-05,2.53215e-05,0.00274584,same,0.000441813,0.000218431,0.0016847,same,0.0050521,same
adder_dcop_32_mtx_k3_cores30_chunks6_cpus5,30,1813x1813,1813x3,0.0010699,0.00091948,4.22915e-05,0.00453503,same,6.69464e-05,2.42387e-05,0.00193544,same,0.00048827,0.000217797,0.00205272,same,0.0071048,same
adder_dcop_32_mtx_k3_cores32_chunks2_cpus16,32,1813x1813,1813x3,0.00120267,0.000899044,4.33365e-05,0.00297563,same,4.66504e-05,2.68798e-05,0.00233515,same,0.0010079,0.000229784,0.00236446,same,0.0051948,same
