File Name,Cores Number,Sparse Matrix,Dense Vector,Serial Algo Execution time,Setup time,Row-wise Average Communication Time,Row-wise Average Computation Time,Row-wise Execution time,Row-wise Result,Column-wise Average Communication Time,Column-wise Average Computation Time,Column-wise Execution time,Column-wise Result,Non-zero elements Average Communication Time,Non-zero elements Average Computation Time,Non-zero Elements Execution time,Non-zero Elements Result,PETSc Setup time,PETSc Execution time,PETSc Conversion time,PETSc Result
debug_amazon0302_mtx_k6_cores10_chunks1_cpus10,10,262111x262111,262111x6,0.249795,0.181513,0.00586146,0.0233696,0.186158,same,0.0451724,0.0402539,0.556973,same,0.0229761,0.0379952,0.203027,same,1.55525,0.141233,1.39916,same
debug_amazon0302_mtx_k6_cores10_chunks2_cpus5,10,262111x262111,262111x6,0.248867,0.186647,0.00696183,0.0223174,0.184458,same,0.0451004,0.0402288,0.56119,same,0.0241862,0.0384556,0.203264,same,1.55102,0.1423,1.41968,same
debug_amazon0302_mtx_k6_cores10_chunks5_cpus2,10,262111x262111,262111x6,0.24977,0.181781,0.0067416,0.0223832,0.184903,same,0.0458092,0.0409757,0.567777,same,0.0251241,0.0385898,0.20175,same,1.54439,0.139843,1.4176,same
debug_amazon0302_mtx_k6_cores11_chunks1_cpus11,11,262111x262111,262111x6,0.25833,0.19921,0.00706152,0.0217574,0.189903,same,0.0416666,0.0365904,0.566824,same,0.0206586,0.0376415,0.208661,same,1.65224,0.130785,1.46719,same
debug_amazon0302_mtx_k6_cores12_chunks1_cpus12,12,262111x262111,262111x6,0.258328,0.196613,0.00648259,0.0211569,0.191625,same,0.0391789,0.0340997,0.574975,same,0.0209208,0.0366629,0.214841,same,1.56365,0.129279,1.43934,same
debug_amazon0302_mtx_k6_cores12_chunks2_cpus6,12,262111x262111,262111x6,0.257552,0.198472,0.00688534,0.0207862,0.18864,same,0.0392302,0.0340423,0.574106,same,0.0207533,0.0367648,0.208062,same,1.55383,0.132716,1.47733,same
debug_amazon0302_mtx_k6_cores12_chunks3_cpus4,12,262111x262111,262111x6,0.258026,0.194089,0.00640992,0.0205739,0.186292,same,0.0392861,0.0341162,0.575963,same,0.0209598,0.0365755,0.214413,same,1.55496,0.123831,1.42333,same
debug_amazon0302_mtx_k6_cores12_chunks4_cpus3,12,262111x262111,262111x6,0.257824,0.191627,0.00614719,0.0206994,0.188221,same,0.0390583,0.0339343,0.572334,same,0.0208484,0.0366188,0.208099,same,1.54882,0.122236,1.45265,same
debug_amazon0302_mtx_k6_cores12_chunks6_cpus2,12,262111x262111,262111x6,0.257038,0.197359,0.00665756,0.0205585,0.188276,same,0.0392451,0.0341443,0.575367,same,0.0207451,0.0365641,0.20923,same,1.54044,0.120815,1.46276,same
debug_amazon0302_mtx_k6_cores13_chunks1_cpus13,13,262111x262111,262111x6,0.265387,0.299776,0.00743044,0.0197508,0.192986,same,0.0369032,0.0315502,0.581538,same,0.0240008,0.0376937,0.222431,same,1.59071,0.121739,1.56865,same
