File Name,Cores Number,Sparse Matrix,Dense Vector,Serial Algo Execution time,Setup time,Row-wise Average Communication Time,Row-wise Average Computation Time,Row-wise Execution time,Row-wise Result,Column-wise Average Communication Time,Column-wise Average Computation Time,Column-wise Execution time,Column-wise Result,Non-zero elements Average Communication Time,Non-zero elements Average Computation Time,Non-zero Elements Execution time,Non-zero Elements Result,PETSc Setup time,PETSc Execution time,PETSc Conversion time,PETSc Result
cop20k_A_mtx_k12_cores10_chunks1_cpus10,10,121192x121192,121192x12,0.702032,0.133013,0.0682914,0.0563005,0.206108,same,0.0182512,0.098319,0.297111,same,0.0163875,0.0755742,0.164285,same,2.62969,0.155824,1.24677,same
cop20k_A_mtx_k12_cores10_chunks2_cpus5,10,121192x121192,121192x12,0.703836,0.133278,0.0623853,0.0556125,0.193061,same,0.0163975,0.0982454,0.291008,same,0.0165555,0.0751295,0.162549,same,2.61496,0.158006,1.23883,same
cop20k_A_mtx_k12_cores10_chunks5_cpus2,10,121192x121192,121192x12,0.70345,0.131071,0.0626015,0.0558985,0.193465,same,0.0179651,0.0983635,0.293981,same,0.0162807,0.0753543,0.163999,same,2.61394,0.155911,1.27281,same
cop20k_A_mtx_k12_cores11_chunks1_cpus11,11,121192x121192,121192x12,0.728165,0.181345,0.0636769,0.052324,0.199714,same,0.0132045,0.0944898,0.236384,same,0.0167576,0.073115,0.164042,same,2.88029,0.145048,1.32779,same
cop20k_A_mtx_k12_cores12_chunks1_cpus12,12,121192x121192,121192x12,0.726823,0.1357,0.0565185,0.0492577,0.184643,same,0.00770713,0.0911438,0.187653,same,0.0165998,0.0715243,0.163094,same,2.69453,0.137904,1.28462,same
cop20k_A_mtx_k12_cores12_chunks2_cpus6,12,121192x121192,121192x12,0.731611,0.138338,0.05739,0.0490664,0.188831,same,0.00707696,0.0911546,0.185846,same,0.0167469,0.0712319,0.162903,same,2.68989,0.139638,1.32582,same
cop20k_A_mtx_k12_cores12_chunks3_cpus4,12,121192x121192,121192x12,0.733584,0.136844,0.0603986,0.0498394,0.19447,same,0.00730939,0.0910844,0.187662,same,0.0168235,0.0713794,0.163158,same,2.6812,0.134371,1.38286,same
cop20k_A_mtx_k12_cores12_chunks4_cpus3,12,121192x121192,121192x12,0.733212,0.141585,0.0582358,0.0491246,0.190811,same,0.00776748,0.0912663,0.187258,same,0.0167553,0.0713114,0.16185,same,2.70384,0.139191,1.42841,same
cop20k_A_mtx_k12_cores12_chunks6_cpus2,12,121192x121192,121192x12,0.727331,0.138074,0.0599823,0.0505012,0.192557,same,0.00986983,0.0935787,0.196095,same,0.0166866,0.0736165,0.167632,same,2.71024,0.136802,1.39088,same
cop20k_A_mtx_k12_cores13_chunks1_cpus13,13,121192x121192,121192x12,0.761831,0.182145,0.0575018,0.0468238,0.191827,same,0.0660843,0.0612018,0.884788,same,0.0168342,0.0717525,0.166189,same,2.76148,0.129791,1.34621,same
cop20k_A_mtx_k12_cores14_chunks1_cpus14,14,121192x121192,121192x12,0.760073,0.144371,0.0513293,0.0445445,0.177115,same,0.0638711,0.0586323,0.911435,same,0.0195302,0.0713696,0.16419,same,2.72271,0.12464,1.34278,same
